,Make,Model,Speed [kts],Speed [mph],GPH,NMPG,MPG,Engine,Source
0,Lancair,Lancair 320,202.55830559999998,233.1,11.8,17.165958101694912,,,CAFE Foundation
1,Lancair,Lancair 320,191.609208,220.5,10.7,17.90740261682243,,,CAFE Foundation
2,Lancair,Lancair 320,192.21749119999998,221.2,9.3,20.668547440860213,,,CAFE Foundation
3,Lancair,Lancair 320,193.4340576,222.6,7.8,24.799238153846154,,,CAFE Foundation
4,Lancair,Lancair 320,181.9635744,209.4,9.5,19.154060463157894,,,CAFE Foundation
5,Lancair,Lancair 320,184.39670719999998,212.2,9.0,20.48852302222222,,,CAFE Foundation
6,Lancair,Lancair 320,186.0477616,214.1,8.4,22.148543047619047,,,CAFE Foundation
7,Lancair,Lancair 320,183.6146288,211.3,7.8,23.540337025641026,,,CAFE Foundation
8,Lancair,Lancair 320,197.257552,227.0,13.3,14.831394887218044,,,CAFE Foundation
9,Lancair,Lancair 320,197.5182448,227.3,12.7,15.552617700787401,,,CAFE Foundation
10,Lancair,Lancair 320,197.69204,227.5,12.1,16.33818512396694,,,CAFE Foundation
11,Lancair,Lancair 320,197.77893759999998,227.6,11.3,17.50256084955752,,,CAFE Foundation
12,Lancair,Lancair 320,198.7348112,228.7,8.3,23.943953156626502,,,CAFE Foundation
13,Lancair,Lancair 320,186.395352,214.5,11.9,15.663474957983192,,,CAFE Foundation
14,Lancair,Lancair 320,186.1346592,214.2,11.2,16.619166,,,CAFE Foundation
15,Lancair,Lancair 320,189.871256,218.5,10.6,17.912382641509435,,,CAFE Foundation
16,Lancair,Lancair 320,190.1319488,218.8,8.8,21.60590327272727,,,CAFE Foundation
17,Lancair,Lancair 320,187.9595088,216.3,7.2,26.105487333333333,,,CAFE Foundation
18,Lancair,Lancair 320,127.1311888,146.3,5.2,24.44830553846154,,,CAFE Foundation
19,Lancair,Lancair 320,183.0932432,210.7,12.1,15.131672991735536,,,CAFE Foundation
20,Lancair,Lancair 320,187.1774304,215.4,11.5,16.276298295652172,,,CAFE Foundation
21,Lancair,Lancair 320,192.65197919999997,221.7,8.2,23.494143804878046,,,CAFE Foundation
22,Lancair,Lancair 320,193.34716,222.5,7.9,24.474324050632912,,,CAFE Foundation
23,Lancair,Lancair 320,180.747008,208.0,9.7,18.633712164948456,,,CAFE Foundation
24,Lancair,Lancair 320,183.353936,211.0,9.3,19.71547698924731,,,CAFE Foundation
25,Lancair,Lancair 320,181.7897792,209.2,7.0,25.96996845714286,,,CAFE Foundation
0,Cozy,Cozy MK IV,161.7164336,186.1,10.1,16.01152807920792,,,CAFE Foundation
1,Cozy,Cozy MK IV,166.1482112,191.2,9.5,17.489285389473682,,,CAFE Foundation
2,Cozy,Cozy MK IV,166.4958016,191.6,8.9,18.707393438202246,,,CAFE Foundation
3,Cozy,Cozy MK IV,167.8861632,193.2,8.5,19.75131331764706,,,CAFE Foundation
4,Cozy,Cozy MK IV,169.45032,195.0,8.2,20.66467317073171,,,CAFE Foundation
5,Cozy,Cozy MK IV,166.58269919999998,191.7,7.9,21.08641762025316,,,CAFE Foundation
6,Cozy,Cozy MK IV,166.408904,191.5,7.0,23.772700571428572,,,CAFE Foundation
