,Make,Model,Speed [kts],Speed [mph],GPH,NMPG,MPG,Engine,Source,Seats,Seat NMPG
0,Lancair,Lancair 320,202.55830560000000,233.1,11.8,17.165958101694900,,,CAFE Foundation,2,34.3319162033898
1,Lancair,Lancair 320,191.609208,220.5,10.7,17.90740261682240,,,CAFE Foundation,2,35.8148052336448
2,Lancair,Lancair 320,192.21749120000000,221.2,9.3,20.668547440860200,,,CAFE Foundation,2,41.3370948817204
3,Lancair,Lancair 320,193.4340576,222.6,7.8,24.799238153846200,,,CAFE Foundation,2,49.5984763076924
4,Lancair,Lancair 320,181.9635744,209.4,9.5,19.154060463157900,,,CAFE Foundation,2,38.3081209263158
5,Lancair,Lancair 320,184.39670720000000,212.2,9.0,20.48852302222220,,,CAFE Foundation,2,40.9770460444444
6,Lancair,Lancair 320,186.0477616,214.1,8.4,22.148543047619000,,,CAFE Foundation,2,44.297086095238
7,Lancair,Lancair 320,183.6146288,211.3,7.8,23.540337025641000,,,CAFE Foundation,2,47.080674051282
8,Lancair,Lancair 320,197.257552,227.0,13.3,14.831394887218000,,,CAFE Foundation,2,29.662789774436
9,Lancair,Lancair 320,197.5182448,227.3,12.7,15.552617700787400,,,CAFE Foundation,2,31.1052354015748
10,Lancair,Lancair 320,197.69204,227.5,12.1,16.33818512396690,,,CAFE Foundation,2,32.6763702479338
11,Lancair,Lancair 320,197.77893760000000,227.6,11.3,17.50256084955750,,,CAFE Foundation,2,35.005121699115
12,Lancair,Lancair 320,198.7348112,228.7,8.3,23.943953156626500,,,CAFE Foundation,2,47.887906313253
13,Lancair,Lancair 320,186.395352,214.5,11.9,15.663474957983200,,,CAFE Foundation,2,31.3269499159664
14,Lancair,Lancair 320,186.1346592,214.2,11.2,16.619166,,,CAFE Foundation,2,33.238332
15,Lancair,Lancair 320,189.871256,218.5,10.6,17.912382641509400,,,CAFE Foundation,2,35.8247652830188
16,Lancair,Lancair 320,190.1319488,218.8,8.8,21.60590327272730,,,CAFE Foundation,2,43.2118065454546
17,Lancair,Lancair 320,187.9595088,216.3,7.2,26.105487333333300,,,CAFE Foundation,2,52.2109746666666
18,Lancair,Lancair 320,127.1311888,146.3,5.2,24.44830553846150,,,CAFE Foundation,2,48.896611076923
19,Lancair,Lancair 320,183.0932432,210.7,12.1,15.131672991735500,,,CAFE Foundation,2,30.263345983471
20,Lancair,Lancair 320,187.1774304,215.4,11.5,16.276298295652200,,,CAFE Foundation,2,32.5525965913044
21,Lancair,Lancair 320,192.65197920000000,221.7,8.2,23.494143804878000,,,CAFE Foundation,2,46.988287609756
22,Lancair,Lancair 320,193.34716,222.5,7.9,24.474324050632900,,,CAFE Foundation,2,48.9486481012658
23,Lancair,Lancair 320,180.747008,208.0,9.7,18.633712164948500,,,CAFE Foundation,2,37.267424329897
24,Lancair,Lancair 320,183.353936,211.0,9.3,19.71547698924730,,,CAFE Foundation,2,39.4309539784946
25,Lancair,Lancair 320,181.7897792,209.2,7.0,25.96996845714290,,,CAFE Foundation,2,51.9399369142858
0,Cozy,Cozy MK IV,161.7164336,186.1,10.1,16.01152807920790,,,CAFE Foundation,4,64.0461123168316
1,Cozy,Cozy MK IV,166.1482112,191.2,9.5,17.489285389473700,,,CAFE Foundation,4,69.9571415578948
2,Cozy,Cozy MK IV,166.4958016,191.6,8.9,18.707393438202200,,,CAFE Foundation,4,74.8295737528088
3,Cozy,Cozy MK IV,167.8861632,193.2,8.5,19.75131331764710,,,CAFE Foundation,4,79.0052532705884
4,Cozy,Cozy MK IV,169.45032,195.0,8.2,20.66467317073170,,,CAFE Foundation,4,82.6586926829268
5,Cozy,Cozy MK IV,166.58269920000000,191.7,7.9,21.08641762025320,,,CAFE Foundation,4,84.3456704810128
6,Cozy,Cozy MK IV,166.408904,191.5,7.0,23.772700571428600,,,CAFE Foundation,4,95.0908022857144
7,Cozy,Cozy MK IV,161.7164336,186.1,6.5,24.87945132307690,,,CAFE Foundation,4,99.5178052923076
8,Cozy,Cozy MK IV,172.4048384,198.4,11.0,15.673167127272700,,,CAFE Foundation,4,62.6926685090908
9,Cozy,Cozy MK IV,173.7952,200.0,10.5,16.55192380952380,,,CAFE Foundation,4,66.2076952380952
10,Cozy,Cozy MK IV,176.6628208,203.3,10.0,17.66628208,,,CAFE Foundation,4,70.66512832
11,Cozy,Cozy MK IV,172.491736,198.5,9.3,18.547498494623700,,,CAFE Foundation,4,74.1899939784948
12,Cozy,Cozy MK IV,171.4489648,197.3,9.0,19.04988497777780,,,CAFE Foundation,4,76.1995399111112
13,Cozy,Cozy MK IV,163.54128320000000,188.2,8.3,19.70376906024100,,,CAFE Foundation,4,78.815076240964
14,Cozy,Cozy MK IV,177.3580016,204.1,10.7,16.5755141682243,,,CAFE Foundation,4,66.3020566728972
15,Cozy,Cozy MK IV,182.3111648,209.8,12.9,14.132648434108500,,,CAFE Foundation,4,56.530593736434
0,Vans,Vans RV-9A,167.0171872,192.2,14.0,11.929799085714300,,,CAFE Foundation,2,23.8595981714286
1,Vans,Vans RV-9A,166.408904,191.5,10.7,15.55223401869160,,,CAFE Foundation,2,31.1044680373832
2,Vans,Vans RV-9A,160.76056,185.0,8.4,19.138161904761900,,,CAFE Foundation,2,38.2763238095238
3,Vans,Vans RV-9A,161.7164336,186.1,8.2,19.721516292682900,,,CAFE Foundation,2,39.4430325853658
4,Vans,Vans RV-9A,162.064024,186.5,7.8,20.777438974359000,,,CAFE Foundation,2,41.554877948718
5,Vans,Vans RV-9A,160.76056,185.0,7.3,22.021994520547900,,,CAFE Foundation,2,44.0439890410958
6,Vans,Vans RV-9A,158.2405296,182.1,6.3,25.11754438095240,,,CAFE Foundation,2,50.2350887619048
7,Vans,Vans RV-9A,153.9825472,177.2,5.9,26.09873681355930,,,CAFE Foundation,2,52.1974736271186
8,Vans,Vans RV-9A,153.54805920000000,176.7,7.8,19.685648615384600,,,CAFE Foundation,2,39.3712972307692
9,Vans,Vans RV-9A,154.5908304,177.9,7.6,20.340898736842100,,,CAFE Foundation,2,40.6817974736842
10,Vans,Vans RV-9A,156.06808960000000,179.6,7.4,21.090282378378400,,,CAFE Foundation,2,42.1805647567568
11,Vans,Vans RV-9A,158.76191520000000,182.7,7.1,22.36083312676060,,,CAFE Foundation,2,44.7216662535212
12,Vans,Vans RV-9A,155.8073968,179.3,6.8,22.912852470588200,,,CAFE Foundation,2,45.8257049411764
13,Vans,Vans RV-9A,150.50664320000000,173.2,6.4,23.516663000000000,,,CAFE Foundation,2,47.033326
14,Vans,Vans RV-9A,166.7564944,191.9,9.8,17.01596881632650,,,CAFE Foundation,2,34.031937632653
15,Vans,Vans RV-9A,167.5385728,192.8,9.7,17.272017814433000,,,CAFE Foundation,2,34.544035628866
16,Vans,Vans RV-9A,166.408904,191.5,9.1,18.286692747252700,,,CAFE Foundation,2,36.5733854945054
17,Vans,Vans RV-9A,163.4543856,188.1,7.5,21.79391808,,,CAFE Foundation,2,43.58783616
18,Vans,Vans RV-9A,156.06808960000000,179.6,6.1,25.584932721311500,,,CAFE Foundation,2,51.169865442623
19,Vans,Vans RV-9A,161.1081504,185.4,7.9,20.39343675949370,,,CAFE Foundation,2,40.7868735189874
20,Vans,Vans RV-9A,161.1081504,185.4,7.7,20.923136415584400,,,CAFE Foundation,2,41.8462728311688
21,Vans,Vans RV-9A,159.7177888,183.8,7.3,21.87914915068490,,,CAFE Foundation,2,43.7582983013698
22,Vans,Vans RV-9A,158.9357104,182.9,6.7,23.721747820895500,,,CAFE Foundation,2,47.443495641791
0,Lancair,Lancair IV-P,235.14490560000000,270.6,23.3,10.092056034334800,,,CAFE Foundation,4,40.3682241373392
1,Lancair,Lancair IV-P,236.1876768,271.8,22.6,10.450782159292000,,,CAFE Foundation,4,41.803128637168
2,Lancair,Lancair IV-P,248.8747264,286.4,21.7,11.468881400921700,,,CAFE Foundation,4,45.8755256036868
3,Lancair,Lancair IV-P,264.6900896,304.6,23.0,11.508264765217400,,,CAFE Foundation,4,46.0330590608696
4,Lancair,Lancair IV-P,275.89988,317.5,22.3,12.372191928251100,,,CAFE Foundation,4,49.4887677130044
5,Lancair,Lancair IV-P,286.327592,329.5,32.9,8.70296632218845,,,CAFE Foundation,4,34.8118652887538
